Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance debt securities,LE00000,AFL0300,2862
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance loans,LE00000,AFL0400,74987
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,302257
2009.03,Non-corporate business enterprises,121,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,0
2009.03,Non-corporate business enterprises,121,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,4630
2009.03,Non-corporate business enterprises,121,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,281818
2009.03,Non-corporate business enterprises,121,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,101227
2009.03,Non-corporate business enterprises,121,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,180591
2009.03,Non-corporate business enterprises,121,Closing balance net worth,LE00000,B900000,0
2009.03,Non-corporate business enterprises,121,Closing balance total liabilities and net worth,LE00000,L000000,384736
2009.03,Corporate business enterprises,141,Closing balance total assets,LE00000,A000000,646518
2009.03,Corporate business enterprises,141,Financial assets Closing balance Total financial assets,LE00000,AFA0000,228729
2009.03,Corporate business enterprises,141,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Corporate business enterprises,141,Financial assets Closing balance currency and deposits,LE00000,AFA0200,29172
2009.03,Corporate business enterprises,141,Financial assets Closing balance debt securities,LE00000,AFA0300,2875
2009.03,Corporate business enterprises,141,Financial assets Closing balance loans,LE00000,AFA0400,48301
2009.03,Corporate business enterprises,141,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,77282
2009.03,Corporate business enterprises,141,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,610
2009.03,Corporate business enterprises,141,Financial assets Closing balance financial derivatives,LE00000,AFA0700,6236
2009.03,Corporate business enterprises,141,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,64252
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,640002
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance debt securities,LE00000,AFL0300,22438
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance loans,LE00000,AFL0400,212905
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,327670
2009.03,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
